,gearbox_dev_00_pAUC_ave,gearbox_dev_00_pAUC_std,gearbox_dev_00_pAUC_hmean,gearbox_dev_arithmetic mean_pAUC,gearbox_dev_harmonic mean_pAUC,gearbox_dev_00_pAUC (source)_ave,gearbox_dev_00_pAUC (source)_std,gearbox_dev_00_pAUC (source)_hmean,gearbox_dev_arithmetic mean_pAUC (source),gearbox_dev_harmonic mean_pAUC (source),gearbox_dev_00_pAUC (target)_ave,gearbox_dev_00_pAUC (target)_std,gearbox_dev_00_pAUC (target)_hmean,gearbox_dev_arithmetic mean_pAUC (target),gearbox_dev_harmonic mean_pAUC (target),gearbox_dev_00_AUC (source)_ave,gearbox_dev_00_AUC (source)_std,gearbox_dev_00_AUC (source)_hmean,gearbox_dev_arithmetic mean_AUC (source),gearbox_dev_harmonic mean_AUC (source),gearbox_dev_00_AUC (target)_ave,gearbox_dev_00_AUC (target)_std,gearbox_dev_00_AUC (target)_hmean,gearbox_dev_arithmetic mean_AUC (target),gearbox_dev_harmonic mean_AUC (target),ALL_pAUC (target)_ave,ALL_pAUC (target)_std,ALL_pAUC (target)_hmean,ALL_AUC (source)_ave,ALL_AUC (source)_std,ALL_AUC (source)_hmean,ALL_AUC (target)_ave,ALL_AUC (target)_std,ALL_AUC (target)_hmean,ALL_pAUC (source)_ave,ALL_pAUC (source)_std,ALL_pAUC (source)_hmean,ALL_pAUC_ave,ALL_pAUC_std,ALL_pAUC_hmean,ALL_AUC_ave,ALL_AUC_std,ALL_AUC_hmean,TOTAL_score_ave,TOTAL_score_std,TOTAL_score_hmean
baseline_MAHALA,0.5510526315789473,,0.5510526315789473,0.5510526315789473,0.5510526315789473,0.5578947368421052,,0.5578947368421052,0.5510526315789473,0.5510526315789473,0.5431578947368421,,0.5431578947368421,0.5510526315789473,0.5510526315789473,0.7083999999999999,,0.7083999999999999,0.7083999999999999,0.7083999999999999,0.7142000000000001,,0.7142000000000001,0.7142000000000001,0.7142000000000001,0.5510526315789473,,0.5431578947368421,0.7083999999999999,,0.7083999999999999,0.7142000000000001,,0.7142000000000001,0.5510526315789473,,0.5578947368421052,0.5510526315789473,,0.5510526315789473,0.7113,0.002900000000000069,0.7112881765780964,0.6578842105263157,0.07557843473412619,0.6484371448449964
baseline_MSE,0.5463157894736842,,0.5463157894736842,0.5463157894736842,0.5463157894736842,0.52,,0.52,0.5463157894736842,0.5463157894736842,0.5747368421052632,,0.5747368421052632,0.5463157894736842,0.5463157894736842,0.605,,0.605,0.605,0.605,0.6208000000000001,,0.6208000000000001,0.6208000000000001,0.6208000000000001,0.5463157894736842,,0.5747368421052632,0.605,,0.605,0.6208000000000001,,0.6208000000000001,0.5463157894736842,,0.52,0.5463157894736842,,0.5463157894736842,0.6129,0.007900000000000074,0.6127981726219612,0.5907052631578947,0.03204402212031565,0.5889095997462224
